Reviewed,Timestamp,Age,Character Name,Main Class/Spec (include offspecs if comfortable),"If you've played several classes, list them here",Discord,Link your Warcraft Logs page(s). ,What is your mythic raiding guild history and why did you leave / are you leaving these guilds?,"Please provide at least two references from past guilds (discord or bnet preferred). If possible, one of these should be recent guild leadership.",Are there any issues with our raid schedule?,How did you find out about us?,"Tell us more about you (hobbies outside WoW, other gaming interests, etc)",,,,,,,,,
x,2/3/2025 17:53:44,29,Immortal,FURY WARRIOR (WILL NOT PLAY ARMS),HoF capable Mage and Priest,Immxrtal,https://www.warcraftlogs.com/reports/f1A9NMtRPb4axhvq?fight=32&type=healing,US 400/World 9000 guilds,Peeko and Shu,NOPERS,Mr. Hickenism's annual anime gathering,I'm an ex-pro league of legends player,https://www.warcraftlogs.com/reports/f1A9NMtRPb4axhvq?fight=32&type=healing,,,,,,,,
x,2/7/2025 2:31:30,28.75,Mortal-icecrown,"Mage-only fire cant play others(arcane too hard, frost too easy)","only mage, wont mention other spec/class combo due to recent events",Immxrtal,"https://www.warcraftlogs.com/character/us/icecrown/mortal?zone=33, in this log i helped a friends guild and gapped their mage main, i think i am now ready for mythical progression https://www.warcraftlogs.com/reports/3HypAt7RzKrqvX82?fight=10&type=damage-done",4/8m Vault 4/9m Abberrus took a break to try the class/spec that shall not be named in Amir,"the two best mages, Preheat-illlidan and Blinkmadge","no i love mythical raiding, my passion runs deep","I met otterinvater in a mythic first 4 last week, i was impressed with his resounding mental to pull rashanan for 12 pulls","My hobbies include runescape, runescape and URF(any urfers in chat), i play poe sometimes although im not too good. Outside that i spend lots of time on my squat rack in my bedroom(dont ask please) and shaving my remaining hair follicles on my head.",https://www.warcraftlogs.com/character/us/icecrown/mortal?zone=33,https://www.warcraftlogs.com/reports/3HypAt7RzKrqvX82?fight=10&type=damage-done,,,,,,,
x,2/7/2025 4:16:50,32,Kovuker,Evoker aug/dev,Druid/Evoker/Warlock/Dh/Monk,kovuferal,"https://www.warcraftlogs.com/character/id/77821572   (evoker)
https://www.warcraftlogs.com/character/id/77419041   (druid)",Vindi (schedule issues)  / Kitty Ascended ( guild management),zalea - megasett - immxrtal - ennukee - dardyn - batarnack - prupru - kymer,No. It's fine,You were my old guild <3  Raiderio (first time),Football - F1 - Marvel rivals - Heroes of the storm,https://www.warcraftlogs.com/character/id/77821572,https://www.warcraftlogs.com/character/id/77419041,,,,,,,
x,3/10/2025 22:04:03,23,Emjayy-Illidan,Ret Pally (can play any spec any class),"All of them, rn my most experienced are Paladin, Rogue, Warrior, Warlock.",emjayy.01,https://www.warcraftlogs.com/character/id/74866574,"<Midnights>-Illidan which I left due to extreme toxicity. And currently a member of <get help> which I would like to leave due to an utter lack of communication regarding any decision making or plans, as well as nepotism when it comes to gear distribution and roster spots.",Bnet: Roohoo and Leoj. Both players who have seen my performance and can attest to the strangeness that goes on within <get help>,Can make it to all scheduled times.,The NA recruitment discords,I mostly play WoW at the moment but have been recently hyperfixating on Black Desert Online whenever I am not grinding Mythic+,https://www.warcraftlogs.com/character/id/74866574,,,,,,,,
x,4/17/2025 2:06:26,26,Strozzyr,DPS Rogue,"DK, Rogue, Evoker, Spriest, Feral & Balance Druid, Enhance Shaman",strozzy,"https://www.warcraftlogs.com/character/us/tichondrius/Strozzyr (Rogue LoU)
https://www.warcraftlogs.com/character/us/illidan/strozzysp (Spriest LoU)
https://www.warcraftlogs.com/character/us/illidan/strozzye?zone=38 (Evoker NP)
https://www.warcraftlogs.com/character/us/illidan/strozzy?zone=35 (Amirdrassil)
https://www.warcraftlogs.com/character/us/illidan/strozzydk?zone=33 (Aberrus Prog from zskarn to sark)
https://www.warcraftlogs.com/character/us/illidan/strozzys?zone=33 (Aberrus Prog up to rashok before swapping to DK)

https://www.warcraftlogs.com/character/us/tichondrius/strozzyr?boss=3013 (Sprocket played well defensively and did a lot of damage on a prog kill)
https://www.warcraftlogs.com/reports/hwCD7ntJNHdjaXZ3?fight=15&type=damage-done (did evoker webs with pres evoker prog kill)
https://www.warcraftlogs.com/reports/Gmp6hA1WnbdKzBRC?fight=36&type=damage-done (Knocks and Kicks on Progression Broodtwister kill)
","Started Casually Mythic Raiding in Castle Nathria with <Serious Face> - Illidan, Joined as a DK but was asked to Swap to boomkin. Progged up to SLG where the guild called it quits for the tier. Played Boomkin with them for SoD, until Painsmith where the guild would call it quits and stop raiding. Guild reformed for Sepulcher however i took this tier off as my mother was battling cancer and passed away during this tier but rejoined them for S4. Filled in for Vault until Kurog while they found a druid replacement due to me having school commitments. During this tier they would achieve CE for the first time since Ny'alotha. Going into Abberus i raided again filling a open enhance shaman role. until Zskarn where i swapped to fill in for DK and then stayed DK for the rest of the tier achieving my first CE. In Amirdrassil i swapped back to druid to play Feral, until smolderon where the guild would have a falling out leading to me and a few others stepping away. (we have since squashed what happened and everyone is on good terms) I trialed with <Tab Target> For Pre-Nerf Tindral and killing it first pull post nerf as feral and swapping to DK For Fyrakk Prog, But had to step away due to a family emergency. I re-trialed during S4 but cancelled my trial as i needed to focus on finishing up school. I didn't play the start of TWW as i was finishing my school but finished early into prog where i joined <Now Watch This Drive> - Area52 as a Evoker mid Broodtwister prog. After killing Ansurek I had the chance to trial with some top 50 US guilds however was going to trial with <Fun Detected> however there was christmas break and after taking a few weeks off from raiding i ended up finding a job that clashed with raid times so i took a break from the game. Shortly before LoU i left that job and had time to raid and re-joined <Serious Face> - Illidan for LoU where i played Shadow priest early on but swapped to rogue due to the rogue trial failing the trial. 

As for why i'm looking for a new guild after this tier. I want to push myself, I want to improve as a player and push to get HoF. I feel like i have more to learn and improve as a player and the best way to do that is be surrounded by better players that push you to be constantly improving. I love my guild and friends in the guild however the guild leadership are all entering parenthood and this is likely to be the last tier where the guild is going to continue raiding at this level, I'm finally in a place where my schedule is set and I don't have questions about my availability due to school / work.",Discord: Woeday (GM of Now Watch This Drive - Area52) Discord: Tuckerdinho (Raided with from CN to Amirdrassil),No,Warcraftlogs Recruitment,"I love cooking, I collect cookbooks. i'm also a big sports fan and F1 fan and follow most major sports. Other gaming interests includes valorant where i peaked immortal *im washed up now* i used to play a game called paladins professionally. outside that i enjoy playing a variety of arcadey games with friends or guildies recent ones include schedule 1 and gangbeasts. I graduated with a bachelor of science in game design and enjoy talking about game design philosophy. I consider myself a multi classer with a preference to MDPS. I'm open to learning new classes / specs and swapping during a season if needed. I would like to finish this tier out before trialing with a guild.",https://www.warcraftlogs.com/character/us/tichondrius/Strozzyr,https://www.warcraftlogs.com/character/us/illidan/strozzysp,https://www.warcraftlogs.com/character/us/illidan/strozzye?zone=38,https://www.warcraftlogs.com/character/us/illidan/strozzy?zone=35,https://www.warcraftlogs.com/character/us/illidan/strozzydk?zone=33,https://www.warcraftlogs.com/character/us/illidan/strozzys?zone=33,https://www.warcraftlogs.com/character/us/tichondrius/strozzyr?boss=3013,https://www.warcraftlogs.com/reports/hwCD7ntJNHdjaXZ3?fight=15&type=damage-done,https://www.warcraftlogs.com/reports/Gmp6hA1WnbdKzBRC?fight=36&type=damage-done
x,4/21/2025 19:29:24,37,nightcatx,warlock - all three specs,spriest and mage,nightcat,"https://www.warcraftlogs.com/character/id/87413433

https://www.warcraftlogs.com/reports/FQjcXA7TNCGV84wt?fight=29&type=damage-done

I was proud of this log because I was assigned as a web in p1, and I spent a considerable amount of time outside raid looking at timers and fully trying to optimize my movement. It felt very rewarding to then put that preparation into practice to get a good parse while still doing my job.","Mint - Stormrage 9.0 - 9.1
Going in Dryer - Zul'jin 9.3 - current

I left mint because it disbanded, and I currently am looking to try and get into a hof guild as that's always been my goal. I otherwise still really like my current guild and would be more than happy to stay.","Kess (lizzimcguire) - Discord: kesslive

Manather - Discord: manather (officer in previous guild)",No issues with this schedule,I found you by looking through wowprog site,I like to play city builder and rpgs outside of WoW. Beyond that I was (until recently cut during govt funding freezes) an astrophysicist in my professional life. Former cat dad. currently dog dad x2. ,https://www.warcraftlogs.com/character/id/87413433,https://www.warcraftlogs.com/reports/FQjcXA7TNCGV84wt?fight=29&type=damage-done,,,,,,,
x,4/22/2025 12:46:57,32,Roldyy,Warlock / All,,roldy4891,"LOU - https://www.warcraftlogs.com/character/id/91866541
NP - https://www.warcraftlogs.com/character/id/91866541?zone=38","Vibrant for the last 2 tiers. They are doing an ""overhaul"" because they were disappointed with where they ranked this tier.",nemofex - Discord.,not at all,Recruitment Discord,hiking and seeing live music take up most of my time when I'm not working or playing the game,https://www.warcraftlogs.com/character/id/91866541,https://www.warcraftlogs.com/character/id/91866541?zone=38,,,,,,,
x,4/22/2025 20:11:07,23,Kallypally-Dalaran,Holy Paladin,Mistweaver Monk,Kallystaa,"https://www.warcraftlogs.com/character/us/dalaran/kallypally

Mythic logs are privated, I can give you screenshots for whatever you need ^-^","Didn't Ask Plus Ratio-Thrall: Wanted HoF, the guild died
Vibrant-Illidan: Got recruited, their hpal decided to come back
Dsyxeic-Dalaran: Was still quite new to HoF, made a lot of mistakes that I have since learned from mechanically.
Room Forty-Zul'jin: Went to go play with my boyfriend, but got frustrated with some of the players so parted ways on good terms
SOMA-Stormrage: Was recruited and told I would not be on the bench, ended up getting benched for 5/8 prog bosses due to ""holy paladin being bad"". Additionally, have some issues with officership and them saying one thing to me and then doing another","Room Forty: zombicidal
Didn't Ask Plus Ratio: goyles",Nope!,Saw the recruitment post in the recruitment disc,"I love to play FFXIV! I'm still new to the game, but I love playing it casually",https://www.warcraftlogs.com/character/us/dalaran/kallypally,,,,,,,,
x,4/24/2025 12:52:35,31,Genkoushi-Tichondrius,Shaman - Elemental (can play all),"Experience with every caster dps, resto shaman, hpal",dball,https://www.warcraftlogs.com/character/us/tichondrius/genkoushi,"I was a recruitment officer in a little noob guild for a while. We never made it past 3/8. The guild disbanded when the GM quit due to IRL things. This season I've been trying to find a guild where I can finally push to high level raiding. I left PROOF because of racism, homophobia, and no one (even officers and GM) would fill their vault. The guild was dead outside of raid times. I am currently in Apparition but haven't raided with them yet. I've just been watching them wipe on Mugz over 300 times, but I'm on the roster for Gally when (if) they get there. I've had a few HoF recruitment officers tell me on discord that they don't recommend I stay in Apparition.
My logs show I know how to dps better than most people, but I know what you'd rather see is if I know how to do mechanics and not die (especially with defensives and consumes available). I don't have data to show you that I can do those things, but I would love the opportunity to show you. That's the only thing holding me back right now is the opportunity to perform.",I have nothing for you here. My 3/8 shitter guild disband. PROOF is also stuck 3/8 and they are mad at me for leaving. I haven't been able to raid with Apparition yet.,No issues,Guild Recruitment Discord,"I'm a 31 year old water resource engineer. I work from home most of the time so I'm very active in discord. I play a lot of games and I am always competitive and push myself to be the best I can in them. Notably, I've reached top 0.5% in TFT several times, my peak being at 0.25%. I used to play Magic the Gathering competitively reaching top 1,000 in the standard ladder on Arena several times and traveling California to play CEDH and Standard Tournaments. My other hobbies include playing guitar, studying Japanese language, and spoiling my 2 cats.",https://www.warcraftlogs.com/character/us/tichondrius/genkoushi,,,,,,,,
x,4/26/2025 1:11:31,28,Pallock - Mal'ganis & Mandunden - Mal'ganis,"Warlock (All specs); Warrior (Arms/Fury) ----- Applying for two separate people, my brother and I",NA,palhd,"https://www.warcraftlogs.com/character/us/malganis/pallock
https://www.warcraftlogs.com/character/us/malganis/mandunden","Did We Log -> Brain Delay -> Did We Log -> Refined Academy      The first time I left Did We Log it was to join a higher level guild, after some time in amirdrassil with Brain Delay I decided I wanted to help out the GM of Did We Log because we were great friends. Ended up he didn't want to take it so serious so I joined Refined Academy!",Discord: jmo (Did We Log GM) and Discord: yabadabadude,"No, we will have 100% attendance. I would rather die than miss a raid night - we have literally rented gaming laptops to make raid on vacation before.",Warcraftlogs,"My brother and I are engineers by day and gamers by night. We enjoy walking our dogs, playing CS2 (We are bad tho...), OSRS, RS3, EU4, HOI4, a few other variety games. Our primary gaming interest is wow raiding, trying to learn and improve as much as possible! Looking forward to hearing back from you! ",https://www.warcraftlogs.com/character/us/malganis/pallock,https://www.warcraftlogs.com/character/us/malganis/mandunden,,,,,,,
